City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1844,Divnomorskoye,RU,65.84,broken clouds,44.5011,38.1353,Primorskiy
1845,Sakhon Nakhon,TH,89.69,broken clouds,17.1612,104.1472,บริษัท สกลแกรนด์พาเลซ จำกัด
1851,Yarim,YE,67.28,clear sky,14.298,44.3779,وليد المسوري ابو اسد
1852,Eenhana,,73.15,clear sky,-17.4667,16.3333,Hotel Litu
1855,Orthez,FR,69.73,overcast clouds,43.4884,-0.7724,Hotel Kyriad Orthez
1856,Toamasina,MG,77.0,light rain,-18.1667,49.3833,Hotel H1
1858,Kannur,IN,80.83,overcast clouds,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
1859,Simao,CN,73.38,scattered clouds,22.7886,100.9748,Changyu Hotel
1861,Puerto Leguizamo,CO,71.2,few clouds,-0.1934,-74.7819,la casona de juancho
1862,Luau,AO,80.19,scattered clouds,-10.7073,22.2247,Casa- Bernardo Cândido
1863,Ribas Do Rio Pardo,BR,72.16,clear sky,-20.4431,-53.7592,Pousada Avenida
1864,Bela,IN,93.27,few clouds,25.9333,81.9833,Raj Bhawan
1865,Mandera,KE,87.62,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
1866,Barahona,DO,79.21,broken clouds,18.2085,-71.1008,Hotel Caribe
1867,Dharchula,IN,84.0,few clouds,29.85,80.5333,Mahara Hotel
1868,Ninghai,CN,91.08,clear sky,29.2892,121.4247,Kaiyuan New Century Hotel
1870,Prieska,ZA,84.51,broken clouds,-29.6641,22.7474,Avenue GuestHouse
1872,Sao Francisco,BR,71.47,scattered clouds,-15.9486,-44.8644,Hotel Supremo
1873,Indapur,IN,84.15,overcast clouds,18.3,73.25,Hotel Open Umbrella
1874,Djambala,CG,73.36,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
1875,Portobelo,PA,77.95,overcast clouds,9.55,-79.65,Scuba Portobelo
1876,Pontes E Lacerda,BR,81.48,scattered clouds,-15.2261,-59.3353,Hotel Bressan
1877,Sala,MA,66.22,overcast clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
1881,Chau Doc,VN,89.69,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
1883,Mangan,IN,86.27,scattered clouds,27.5167,88.5333,Hotel Mout View
1884,Nirmal,IN,80.89,light rain,19.1,78.35,Hotel Mayuri
1887,Linfen,CN,69.55,light rain,36.0889,111.5189,Suoxing Hotel
1889,Lumajang,ID,84.69,few clouds,-8.1335,113.2248,SPOT ON 2440 Wallet Family Residence
1890,Hanting,CN,73.87,overcast clouds,36.7708,119.2108,Weifang Xinhongda Guesthouse
1891,Moerai,PF,75.96,overcast clouds,-22.4333,-151.3333,Le Manotel
1894,Scottsbluff,US,65.79,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
1895,Acaponeta,MX,76.17,overcast clouds,22.4964,-105.3594,Hotel Casa Blanca
1897,Ikwiriri,TZ,87.76,few clouds,-7.9562,38.9716,Greenland lodge
1901,Kanadukathan,IN,89.4,overcast clouds,10.1754,78.7785,Chettinadu Court
1902,Cabinda,AO,75.34,broken clouds,-5.55,12.2,Hotel Maiombe
1903,Pozo Colorado,PY,73.8,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
1906,Okahandja,,71.91,clear sky,-21.9833,16.9167,Guesthouse Villa Nina
1909,Puerto Baquerizo Moreno,EC,67.69,few clouds,-0.9,-89.6,Hotel los Algarrobos
1911,Rio Real,BR,68.05,few clouds,-11.4847,-37.9328,Hotel WD
1913,Acari,PE,65.19,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
1914,Changji,CN,70.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
1915,Leeton,AU,70.9,scattered clouds,-34.5667,146.4,Historic Hydro Motor Inn
1916,Maumelle,US,70.57,broken clouds,34.8668,-92.4043,"Holiday Inn Express & Suites Maumelle - Little Rock NW, an IHG Hotel"
1917,Bantul,ID,85.75,overcast clouds,-7.8881,110.3289,Pondok Byru Kost & Homestay
1918,Deder,ET,67.3,light rain,9.3167,41.45,Yamrot hotel
1919,Piploda,IN,85.87,scattered clouds,23.35,75.4333,श्री महाकाल डेरी
1920,Harlingen,US,80.89,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
1924,Qianjiang,CN,85.39,scattered clouds,30.4151,112.8859,Shell Qianjiang City Qianjiang bus station Hotel
